id,name,name_in_url,imglink
5114,"Fullmetal Alchemist: Brotherhood",Fullmetal_Alchemist__Brotherhood,https://myanimelist.cdn-dena.com/images/anime/5/47421.jpg
32281,"Kimi no Na wa.",Kimi_no_Na_wa,https://myanimelist.cdn-dena.com/images/anime/5/87048.jpg
30484,"Steins;Gate 0",Steins_Gate_0,https://myanimelist.cdn-dena.com/images/anime/1031/90444.jpg
28977,"Gintama°","Gintama°",
9253,Steins;Gate,Steins_Gate,https://myanimelist.cdn-dena.com/images/anime/5/73199.jpg
820,"Ginga Eiyuu Densetsu",Ginga_Eiyuu_Densetsu,https://myanimelist.cdn-dena.com/images/anime/13/13225.jpg
9969,"Gintama'",Gintama,https://myanimelist.cdn-dena.com/images/anime/4/50361.jpg
11061,"Hunter x Hunter (2011)",Hunter_x_Hunter_2011,https://myanimelist.cdn-dena.com/images/anime/11/33657.jpg
35180,"3-gatsu no Lion 2nd Season",3-gatsu_no_Lion_2nd_Season,https://myanimelist.cdn-dena.com/images/anime/3/88469.jpg
15417,"Gintama': Enchousen",Gintama__Enchousen,https://myanimelist.cdn-dena.com/images/anime/6/75172.jpg
15335,"Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare",Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,https://myanimelist.cdn-dena.com/images/anime/10/51723.jpg
28851,"Koe no Katachi",Koe_no_Katachi,https://myanimelist.cdn-dena.com/images/anime/3/80136.jpg
34096,Gintama.,Gintama,https://myanimelist.cdn-dena.com/images/anime/3/83528.jpg
35247,"Owarimonogatari 2nd Season",Owarimonogatari_2nd_Season,https://myanimelist.cdn-dena.com/images/anime/6/87322.jpg
4181,"Clannad: After Story",Clannad__After_Story,https://myanimelist.cdn-dena.com/images/anime/13/24647.jpg
918,Gintama,Gintama,https://myanimelist.cdn-dena.com/images/anime/2/10038.jpg
32935,"Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou",Haikyuu__Karasuno_Koukou_VS_Shiratorizawa_Gakuen_Koukou,https://myanimelist.cdn-dena.com/images/anime/7/81992.jpg
2904,"Code Geass: Hangyaku no Lelouch R2",Code_Geass__Hangyaku_no_Lelouch_R2,https://myanimelist.cdn-dena.com/images/anime/4/9391.jpg
199,"Sen to Chihiro no Kamikakushi",Sen_to_Chihiro_no_Kamikakushi,https://myanimelist.cdn-dena.com/images/anime/6/79597.jpg
34599,"Made in Abyss",Made_in_Abyss,https://myanimelist.cdn-dena.com/images/anime/1922/91900.jpg
28891,"Haikyuu!! Second Season",Haikyuu_Second_Season,https://myanimelist.cdn-dena.com/images/anime/9/76662.jpg
31758,"Kizumonogatari III: Reiketsu-hen",Kizumonogatari_III__Reiketsu-hen,https://myanimelist.cdn-dena.com/images/anime/8/82911.jpg
23273,"Shigatsu wa Kimi no Uso",Shigatsu_wa_Kimi_no_Uso,https://myanimelist.cdn-dena.com/images/anime/3/67177.jpg
33095,"Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen",Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,https://myanimelist.cdn-dena.com/images/anime/10/82947.jpg
36838,"Gintama.: Shirogane no Tamashii-hen",Gintama__Shirogane_no_Tamashii-hen,https://myanimelist.cdn-dena.com/images/anime/12/89603.jpg
24701,"Mushishi Zoku Shou 2nd Season",Mushishi_Zoku_Shou_2nd_Season,https://myanimelist.cdn-dena.com/images/anime/9/68095.jpg
1,"Cowboy Bebop",Cowboy_Bebop,https://myanimelist.cdn-dena.com/images/anime/4/19644.jpg
263,"Hajime no Ippo",Hajime_no_Ippo,https://myanimelist.cdn-dena.com/images/anime/10/2025.jpg
164,"Mononoke Hime",Mononoke_Hime,https://myanimelist.cdn-dena.com/images/anime/7/75919.jpg
1575,"Code Geass: Hangyaku no Lelouch",Code_Geass__Hangyaku_no_Lelouch,
44,"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen",Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,https://myanimelist.cdn-dena.com/images/anime/9/13160.jpg
17074,"Monogatari Series: Second Season",Monogatari_Series__Second_Season,https://myanimelist.cdn-dena.com/images/anime/3/52133.jpg
21939,"Mushishi Zoku Shou",Mushishi_Zoku_Shou,
12355,"Ookami Kodomo no Ame to Yuki",Ookami_Kodomo_no_Ame_to_Yuki,
33486,"Boku no Hero Academia 2nd Season",Boku_no_Hero_Academia_2nd_Season,
33674,"No Game No Life: Zero",No_Game_No_Life__Zero,https://myanimelist.cdn-dena.com/images/anime/1085/90759.jpg
245,"Great Teacher Onizuka",Great_Teacher_Onizuka,https://myanimelist.cdn-dena.com/images/anime/13/11460.jpg
457,Mushishi,Mushishi,https://myanimelist.cdn-dena.com/images/anime/2/73862.jpg
34591,"Natsume Yuujinchou Roku",Natsume_Yuujinchou_Roku,https://myanimelist.cdn-dena.com/images/anime/6/84416.jpg
2001,"Tengen Toppa Gurren Lagann",Tengen_Toppa_Gurren_Lagann,https://myanimelist.cdn-dena.com/images/anime/4/5123.jpg
5258,"Hajime no Ippo: New Challenger",Hajime_no_Ippo__New_Challenger,https://myanimelist.cdn-dena.com/images/anime/8/56617.jpg
431,"Howl no Ugoku Shiro",Howl_no_Ugoku_Shiro,https://myanimelist.cdn-dena.com/images/anime/5/75810.jpg
30276,"One Punch Man",One_Punch_Man,https://myanimelist.cdn-dena.com/images/anime/12/76049.jpg
7311,"Suzumiya Haruhi no Shoushitsu",Suzumiya_Haruhi_no_Shoushitsu,https://myanimelist.cdn-dena.com/images/anime/2/73842.jpg
11665,"Natsume Yuujinchou Shi",Natsume_Yuujinchou_Shi,https://myanimelist.cdn-dena.com/images/anime/3/37449.jpg
