id,name,description,name_in_url,imglink,shortimg,role,fav_count
12,"Elric, Alphonse",,Alphonse_Elric,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/5/54265.jpg?s=b68e57b29a45ab4e77acd67d08e67180,,
11,"Elric, Edward",,Edward_Elric,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/9/72533.jpg?s=1f9b2be39a00daaebc6e56e7ac562950,,
2079,"Armstrong, Alex Louis",,Alex_Louis_Armstrong,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/2/71066.jpg?s=6a0951221bae6db77876b267a9166346,,
55287,"Armstrong, Philip Gargantos",,Philip_Gargantos_Armstrong,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/11/177627.jpg?s=a540764fb3939f3ff188328568f4db6b,,
3934,"Armstrong, Olivier Mira",,Olivier_Mira_Armstrong,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/7/83953.jpg?s=92e505014a715c43a9cfa9cac964e888,,
20592,"Armstrong, Kathleen Elle",,Kathleen_Elle_Armstrong,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/14/80951.jpg?s=77541c21175ed66e4ec009858292f95d,,
5428,"Barry the Chopper",,Barry_the_Chopper,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/3/52723.jpg?s=02c7d86db3dfcfb822c3784f568d1e2c,,
10968,Bido,,Bido,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/3/56215.jpg?s=43188944b88205a9b0ed27e64444ed49,,
7203,"Black Hayate",,Black_Hayate,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/12/81547.jpg?s=bfd725a11081b38d4c2205cedaec19cb,,
5103,"Bradley, King",,King_Bradley,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/11/62053.jpg?s=40ba0620734f2df6872c191d6f8445c0,,
34689,"Bradley, Mrs.",,Mrs_Bradley,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/12/94407.jpg?s=5f21d20de1783abe8b61b4c41bbc6e8a,,
10982,"Bradley, Selim",,Selim_Bradley,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/9/71041.jpg?s=0eeddd2ffd6a3f68064d9e231d4f0fa4,,
16648,"Breda, Heymans",,Heymans_Breda,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/10/59486.jpg?s=2ff55c6161bd6ec07ef30b7afb98c405,,
23106,"Brosh, Denny",,Denny_Brosh,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/12/56211.jpg?s=50817388a9b3e4dc0a97884c5717773d,,
15541,Buccaneer,,Buccaneer,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/7/71767.jpg?s=23400b1a8a1d58c8d0fcc3951d2a3693,,
17103,"Catalina, Rebecca",,Rebecca_Catalina,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/15/92192.jpg?s=ab96a1471aa91d88ef1b27667f9906b1,,
15532,"Chang, May",,May_Chang,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/10/80248.jpg?s=77cc3a7d00e99bddfd5ef73e2ae10aa9,,
50123,Charlie,,Charlie,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/3/177589.jpg?s=302db6b0b68cf2e3213f18ef0eae11f9,,
10944,Cornello,,Cornello,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/4/57099.jpg?s=957a1e26ab4b672207813d88ba9ae0c7,,
10948,Cray,,Cray,,https://myanimelist.cdn-dena.com/r/23x32/images/characters/2/62117.jpg?s=05dbd457183a4cd3c309a24cb8431104,,
