id,name,description,imglink,shortimg,name_in_url,details,rating,votes
2,Berserk,"Guts, a former mercenary now known as the ""Black Swordsman,"" is out for revenge. After a tumultuous childhood, he finally finds someone he respects and believes he can trust, only to have everything fall apart when this person takes away everything important to Guts for the purpose of fulfilling his own desires. Now marked for death, Guts becomes condemned to a fate in which he is relentlessly pursued by demonic beings.

Setting out on a dreadful quest riddled with misfortune, Guts, armed with a massive sword and monstrous strength, will let nothing stop him, not even death itself, until he is finally able to take the head of the one who stripped him—and his loved one—of their humanity.

[Written by MAL Rewrite]

Included one-shot:
Volume 14: Berserk: The Prototype",https://myanimelist.cdn-dena.com/images/manga/1/157931.jpg,https://myanimelist.cdn-dena.com/r/50x70/images/manga/1/157931.jpg?s=8402b7b8190fa92d679a72d7f8c68152,Berserk,"
        Manga (? vols)
        Aug 1989 - 
        187,952 members
      ",,
1706,"JoJo no Kimyou na Bouken Part 7: Steel Ball Run","In the American Old West, the world's greatest race is about to begin. Thousands line up in San Diego to travel over six thousand kilometers for a chance to win the grand prize of fifty million dollars. With the era of the horse reaching its end, contestants are allowed to use any kind of vehicle they wish. Competitors will have to endure grueling conditions, traveling up to a hundred kilometers a day through uncharted wastelands. The Steel Ball Run is truly a one-of-a-kind event.

The youthful Johnny Joestar, a crippled former horse racer, has come to San Diego to watch the start of the race. There he encounters Gyro Zeppeli, a racer with two steel balls at his waist instead of a gun. Johnny witnesses Gyro using one of his steel balls to unleash a fantastical power, compelling a man to fire his gun at himself during a duel. In the midst of the action, Johnny happens to touch the steel ball and feels a power surging through his legs, allowing him to stand up for the first time in two years. Vowing to find the secret of the steel balls, Johnny decides to compete in the race, and so begins his bizarre adventure across America on the Steel Ball Run.

[Written by MAL Rewrite]",https://myanimelist.cdn-dena.com/images/manga/3/179882.jpg,https://myanimelist.cdn-dena.com/r/50x70/images/manga/3/179882.jpg?s=dac8109140406ca296cf4946296b5037,JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run,"
        Manga (24 vols)
        Jan 2004 - Apr 2011
        38,696 members
      ",,
25,"Fullmetal Alchemist","Alchemists are knowledgeable and naturally talented individuals who can manipulate and modify matter due to their art. Yet despite the wide range of possibilities, alchemy is not as all-powerful as most would believe. Human transmutation is strictly forbidden, and whoever attempts it risks severe consequences. Even so, siblings Edward and Alphonse Elric decide to ignore this great taboo and bring their mother back to life. Unfortunately, not only do they fail in resurrecting her, they also pay an extremely high price for their arrogance: Edward loses his left leg and Alphonse his entire body. Furthermore, Edward also gives up his right arm in order to seal his brother's soul into a suit of armor.

Years later, the young alchemists travel across the country looking for the Philosopher's Stone, in the hopes of recovering their old bodies with its power. However, their quest for the fated stone also leads them to unravel far darker secrets than they could ever imagine.

[Written by MAL Rewrite]",https://myanimelist.cdn-dena.com/images/manga/1/27600.jpg,https://myanimelist.cdn-dena.com/r/50x70/images/manga/1/27600.jpg?s=9d0238ae01b9fbab777e64b023b7d654,Fullmetal_Alchemist,"
        Manga (27 vols)
        Jul 2001 - Sep 2010
        149,885 members
      ",,
1,Monster,"Dr. Kenzou Tenma is a renowned brain surgeon of Japanese descent working in Europe. Highly lauded by his peers as one of the great young minds that will revolutionize the field, he is blessed with a beautiful fiancée and is on the cusp of a big promotion in the hospital he works at. But all of that is about to change with a grave dilemma that Kenzou faces one night—whether to save the life of a small boy or that of the town's mayor. Despite being pressured by his superiors to perform surgery on the mayor, his morals force him to perform the surgery on the other critical patient, saving his life and forfeiting the mayor's. A doctor is taught to believe that all life is equal; however, when a series of murders occur in the surgeon's vicinity, all of the evidence pointing to the boy he saved, Kenzou's beliefs are shaken. Along his journey to unravel the true identity of his little patient, Kenzou discovers that the fate of the world may be intertwined with the mysterious child.

[Written by MAL Rewrite]",https://myanimelist.cdn-dena.com/images/manga/3/54525.jpg,https://myanimelist.cdn-dena.com/r/50x70/images/manga/3/54525.jpg?s=c660994ac8ba790d9e6bb2400f7c73cd,Monster,"
        Manga (18 vols)
        Dec 1994 - Dec 2001
        65,247 members
      ",,
4632,"Oyasumi Punpun","Punpun Onodera is a normal 11-year-old boy living in Japan. Hopelessly idealistic and romantic, Punpun begins to see his life take a subtle—though nonetheless startling—turn to the adult when he meets the new girl in his class, Aiko Tanaka. It is then that the quiet boy learns just how fickle maintaining a relationship can be, and the surmounting difficulties of transitioning from a naïve boyhood to a convoluted adulthood. When his father assaults his mother one night, Punpun realizes another thing: those whom he looked up to were not as impressive as he once thought.

As his problems increase, Punpun's once shy demeanor turns into voluntary reclusiveness. Rather than curing him of his problems and conflicting emotions, this merely intensifies them, sending him down the dark path of maturity in this grim coming-of-age saga.

[Written by MAL Rewrite]",https://myanimelist.cdn-dena.com/images/manga/3/164420.jpg,https://myanimelist.cdn-dena.com/r/50x70/images/manga/3/164420.jpg?s=76cffa4b8fdbfedb7a554a5a5695a47a,Oyasumi_Punpun,"
        Manga (13 vols)
        Mar 2007 - Nov 2013
        113,325 members
      ",,
13,"One Piece","Gol D. Roger, a man referred to as the ""Pirate King,"" is set to be executed by the World Government. But just before his demise, he confirms the existence of a great treasure, One Piece, located somewhere within the vast ocean known as the Grand Line. Announcing that One Piece can be claimed by anyone worthy enough to reach it, the Pirate King is executed and the Great Age of Pirates begins.

Twenty-two years later, a young man by the name of Monkey D. Luffy is ready to embark on his own adventure, searching for One Piece and striving to become the new Pirate King. Armed with just a straw hat, a small boat, and an elastic body, he sets out on a fantastic journey to gather his own crew and a worthy ship that will take them across the Grand Line to claim the greatest status on the high seas.

[Written by MAL Rewrite]",https://myanimelist.cdn-dena.com/images/manga/3/55539.jpg,https://myanimelist.cdn-dena.com/r/50x70/images/manga/3/55539.jpg?s=b4d9e935b7152f0c9e69b34a7797fe02,One_Piece,"
        Manga (? vols)
        Jul 1997 - 
        205,514 members
      ",,
16765,Kingdom,"During the Warring States period in China, Xin Li and Piao are two brother-like youngsters who dream of becoming Great Generals, despite their low status as orphaned slaves. One day, they encounter a man of nobility, who gives Piao an opportunity to undertake an important duty within the state of Qin's royal palace. Parting ways, Xin and Piao promise each other to one day become the greatest generals in the world. However, after a fierce coup d'état occurs in the palace, Xin meets with a dying Piao, whose last words spur him into action and lead him to encounter the young and soon-to-be king of Qin, Zheng Ying.

Although initially on bad terms, Xin and Zheng become comrades and start on a path filled with trials and bloodshed. Zheng's objective is to bring all the warring states under Qin, and Xin seeks to climb to the very top of the army ranks. Against a backdrop of constant tactical battle between states and great political unrest, both outside and within the palace, the two endeavor towards their monumental ambitions that will change history forever.

[Written by MAL Rewrite]",https://myanimelist.cdn-dena.com/images/manga/2/171872.jpg,https://myanimelist.cdn-dena.com/r/50x70/images/manga/2/171872.jpg?s=21a45c6d977c58c19e3075b015c4ee39,Kingdom,"
        Manga (? vols)
        Jan 2006 - 
        38,043 members
      ",,
91941,"Made in Abyss","The enormous cave system, known as the Abyss, is the only unexplored place in the world. Nobody knows how far down this titanic pit goes, inhabited by strange and wondrous creatures and full of mysterious ancient relics whose purpose is unknown to modern man. Generations of bold adventurers have been drawn by the cryptic depths of the Abyss. Over the course of time those bold enough to explore the dangerous pit came to be known as ""Cave Raiders.""

In Orth, the town at the edge of the Abyss, there lives a little orphan named Riko, who dreams of becoming as great a cave raider as her mother was and solving the great mystery of the pit. One day exploring the murky depths she stumbles upon a little boy, who turns out to be a robot... 
",https://myanimelist.cdn-dena.com/images/manga/3/161645.jpg,https://myanimelist.cdn-dena.com/r/50x70/images/manga/3/161645.jpg?s=58beeec91ad4532699a2b1da3c4d4cda,Made_in_Abyss,"
        Manga (? vols)
        Oct 2012 - 
        30,922 members
      ",,
3,"20th Century Boys","As the 20th century approaches its end, people all over the world are anxious that the world is changing. And probably not for the better.

Kenji Endo is a normal convenience store manager who's just trying to get by. But when he learns that one of his old friends going by the name ""Donkey"" has suddenly committed suicide, and that a new cult led by a figure known as ""Friend"" is becoming more notorious, Kenji starts to feel that something isn't right. With a few key clues left behind by his deceased friend, Kenji realizes that this cult is much more than he ever thought it would be—not only is this mysterious organization directly targeting him and his childhood friends, but the whole world also faces a grave danger that only the friends have the key to stop.

Kenji's simple life of barely making ends meet is flipped upside down when he reunites with his childhood friends, and together they must figure out the truth of how their past is connected to the cult, as the turn of the century could mean the possible end of the world.

[Written by MAL Rewrite]",https://myanimelist.cdn-dena.com/images/manga/1/54437.jpg,https://myanimelist.cdn-dena.com/r/50x70/images/manga/1/54437.jpg?s=2dfac509e795f7cc672f1b4c4930bf92,20th_Century_Boys,"
        Manga (22 vols)
        Sep 1999 - Apr 2006
        70,838 members
      ",,
656,Vagabond,"In 16th century Japan, Shinmen Takezou is a wild, rough young man, in both his appearance and his actions. His aggressive nature has won him the collective reproach and fear of his village, leading him and his best friend, Matahachi Honiden, to run away in search of something grander than provincial life. The pair enlist in the Toyotomi army, yearning for glory—but when the Toyotomi suffer a crushing defeat at the hands of the Tokugawa Clan at the Battle of Sekigahara, the friends barely make it out alive.

After the two are separated, Shinmen returns home on a self-appointed mission to notify the Hon'iden family of Matahachi's survival. He instead finds himself a wanted criminal, framed for his friend's supposed murder based on his history of violence. Upon being captured, he is strung up on a tree and left to die. An itinerant monk, the distinguished Takuan Soho, takes pity on the ""devil child,"" secretly freeing Shinmen and christening him with a new name to avoid pursuit by the authorities: Musashi Miyamoto.

Vagabond is the fictitious retelling of the life of one of Japan's most renowned swordsmen, the ""Sword Saint"" Musashi Miyamoto—his rise from a swordsman with no desire other than to become ""Invincible Under the Heavens"" to an enlightened warrior who slowly learns of the importance of close friends, self-reflection, and life itself.

[Written by MAL Rewrite]

This series is on hiatus.",https://myanimelist.cdn-dena.com/images/manga/2/181787.jpg,https://myanimelist.cdn-dena.com/r/50x70/images/manga/2/181787.jpg?s=bbd3ff81b5d8e50781531c60cd68773f,Vagabond,"
        Manga (37 vols)
        Mar 1999 - May 2015
        81,015 members
      ",,
