id,source_type,genrelist
1,0,Action|Adventure|Comedy|Drama|Sci-Fi|Space
5,0,Action|Space|Drama|Mystery|Sci-Fi
19,0,Drama|Horror|Mystery|Police|Psychological|Seinen|Thriller
21,0,"Action|Adventure|Comedy|Super Power|Drama|Fantasy|Shounen"
32,0,Sci-Fi|Dementia|Psychological|Drama|Mecha
33,0,Action|Adventure|Demons|Drama|Fantasy|Horror|Military|Romance|Seinen|Supernatural
43,0,Action|Sci-Fi|Police|Psychological|Mecha|Seinen
44,0,"Action|Historical|Drama|Romance|Martial Arts|Samurai"
45,0,Action|Adventure|Comedy|Historical|Romance|Samurai
57,0,"Comedy|Drama|Music|Shounen|Slice of Life"
136,0,"Action|Adventure|Shounen|Super Power"
137,0,"Action|Adventure|Super Power|Shounen"
139,0,"Action|Adventure|Shounen|Super Power"
164,0,Action|Adventure|Fantasy
170,0,Comedy|Sports|Drama|School|Shounen
199,0,Adventure|Supernatural|Drama
205,0,Action|Adventure|Comedy|Historical|Samurai|Shounen
245,0,"Comedy|Drama|School|Shounen|Slice of Life"
263,0,Comedy|Sports|Drama|Shounen
264,0,Comedy|Shounen|Sports
329,0,Drama|Romance|Sci-Fi|Seinen|Space
338,0,Military|Historical|Drama|Romance|Shoujo
392,0,"Action|Comedy|Demons|Supernatural|Martial Arts|Shounen"
431,0,Adventure|Drama|Fantasy|Romance
457,0,"Adventure|Fantasy|Historical|Mystery|Seinen|Slice of Life|Supernatural"
467,0,Action|Military|Sci-Fi|Police|Mecha|Seinen
486,0,"Action|Adventure|Slice of Life|Psychological"
513,0,Adventure|Fantasy|Romance|Sci-Fi
523,0,Adventure|Comedy|Supernatural
558,0,Comedy|Drama|Shounen|Sports
572,0,Adventure|Fantasy
578,0,Drama|Historical
627,0,Comedy|Sports|Drama|Shounen
777,0,Action|Military|Horror|Supernatural|Vampire|Seinen
801,0,Action|Military|Sci-Fi|Mystery|Police|Mecha|Seinen
820,0,Military|Sci-Fi|Space|Drama
877,0,"Music|Slice of Life|Comedy|Drama|Romance|Shoujo"
918,0,Action|Sci-Fi|Comedy|Historical|Parody|Samurai|Shounen
1210,0,Comedy|Psychological|Drama|Romance
1365,0,Adventure|Mystery|Police|Shounen
1535,0,Mystery|Police|Psychological|Supernatural|Thriller|Shounen
1575,0,"Action|Military|Sci-Fi|Super Power|Drama|Mecha|School"
1698,0,"Music|Slice of Life|Comedy|Drama|Romance|Josei"
1842,0,Drama|Shounen|Sports
1889,0,Mystery|Psychological|Supernatural|Thriller
2001,0,Action|Adventure|Comedy|Mecha|Sci-Fi
2236,0,Sci-Fi|Adventure|Drama|Romance
2246,0,Mystery|Historical|Horror|Demons|Psychological|Supernatural|Fantasy|Seinen
2251,0,Action|Mystery|Comedy|Historical|Supernatural
2418,0,Action|Adventure|Historical|Samurai
2559,0,"Adventure|Drama|Historical|Slice of Life"
2685,0,Action|Adventure|Drama|Romance|Fantasy|Shounen
2904,0,"Action|Military|Sci-Fi|Super Power|Drama|Mecha"
2921,0,"Action|Drama|Shounen|Slice of Life|Sports"
3297,0,"Fantasy|Sci-Fi|Shounen|Slice of Life"
3784,0,Action|Sci-Fi|Mecha
4081,0,"Slice of Life|Supernatural|Drama|Fantasy|Shoujo"
4181,0,"Slice of Life|Comedy|Supernatural|Drama|Romance"
4224,0,"Slice of Life|Comedy|Romance|School"
4282,0,Action|Mystery|Supernatural|Drama|Romance|Thriller
4565,0,"Action|Sci-Fi|Space|Super Power|Mecha"
5028,0,Comedy|Drama|Romance|Sports
5040,0,Sports|Psychological|Seinen
5081,0,Romance|Supernatural|Mystery|Vampire
5114,0,Action|Military|Adventure|Comedy|Drama|Magic|Fantasy|Shounen
5205,0,Action|Mystery|Supernatural|Romance|Thriller
5258,0,Comedy|Sports|Drama|Shounen
5300,0,"Drama|Fantasy|Shoujo|Slice of Life|Supernatural"
5341,0,Adventure|Historical|Romance|Fantasy
